X,Figure1E,Figure2C,Figure2D,Figure2H,Figure4B,genes,sc_w3_w4,mouse
ENSG00000114200,vAN,NA,NA,NA,NA,BCHE,expressed,NA
ENSG00000114251,vAN,Ventral forebrain,NA,NA,NA,WNT5A,expressed,NA
ENSG00000114279,dAN,NA,NA,NA,Cluster 1,FGF12,expressed,NA
ENSG00000114315,vAN,Ventral forebrain,NA,1,Cluster 2,HES1,expressed,NA
ENSG00000114529,dAN,NA,NA,NA,NA,C3orf52,expressed,NA
ENSG00000114541,vAN,Ventral forebrain,NA,1,NA,FRMD4B,expressed,NA
ENSG00000114670,vAN,NA,NA,NA,Cluster 1,NEK11,expressed,NA
ENSG00000114737,vAN,NA,NA,NA,NA,CISH,expressed,NA
ENSG00000114861,vAN,Ventral forebrain,NA,NA,NA,FOXP1,expressed,NA
ENSG00000115107,vAN,Early differentiation,NA,NA,NA,STEAP3,expressed,NA
ENSG00000115252,dAN,NA,NA,NA,NA,PDE1A,expressed,NA
ENSG00000115255,vAN,NA,NA,NA,NA,REEP6,expressed,NA
ENSG00000115257,vAN,NA,NA,NA,NA,PCSK4,expressed,NA
ENSG00000115339,vAN,NA,NA,NA,NA,GALNT3,expressed,NA
ENSG00000115380,vAN,Ventral forebrain,NA,NA,NA,EFEMP1,expressed,NA
ENSG00000115457,dAN,Dorsal forebrain,NA,NA,NA,IGFBP2,expressed,NA
ENSG00000115474,dAN,NA,NA,NA,Cluster 2,KCNJ13,expressed,NA
ENSG00000115507,dAN,Dorsal forebrain,NA,NA,NA,OTX1,expressed,NA
ENSG00000115594,dAN,NA,NA,NA,NA,IL1R1,expressed,NA
ENSG00000115596,dAN,Dorsal forebrain,NA,NA,NA,WNT6,expressed,NA
ENSG00000115641,dAN,NA,NA,NA,NA,FHL2,expressed,NA
ENSG00000115738,dAN,Early differentiation,NA,NA,Cluster 2,ID2,expressed,NA
ENSG00000115828,vAN,NA,NA,2,NA,QPCT,expressed,NA
ENSG00000115844,vAN,NA,NA,NA,NA,DLX2,expressed,NA
ENSG00000115896,vAN,Ventral forebrain,NA,NA,NA,PLCL1,expressed,NA
ENSG00000115902,dAN,NA,NA,NA,NA,SLC1A4,expressed,NA
ENSG00000116096,vAN,Ventral forebrain,NA,NA,NA,SPR,expressed,NA
ENSG00000116106,dAN,NA,NA,NA,Cluster 2,EPHA4,expressed,tested
ENSG00000116285,dAN,NA,NA,NA,NA,ERRFI1,expressed,NA
ENSG00000116329,vAN,Ventral forebrain,NA,1,Cluster 1,OPRD1,NA,NA
ENSG00000116701,dAN,NA,NA,NA,NA,NCF2,NA,NA
ENSG00000116717,dAN,Dorsal forebrain,NA,NA,Cluster 2,GADD45A,expressed,NA
ENSG00000116729,dAN,Forebrain,NA,NA,NA,WLS,expressed,NA
ENSG00000116741,vAN,Ventral forebrain,NA,NA,NA,RGS2,expressed,NA
ENSG00000116761,dAN,NA,NA,NA,Cluster 2,CTH,expressed,NA
ENSG00000116774,vAN,NA,NA,NA,Cluster 1,OLFML3,expressed,NA
ENSG00000116852,vAN,NA,NA,NA,NA,KIF21B,expressed,NA
ENSG00000116962,vAN,NA,NA,NA,Cluster 1,NID1,expressed,NA
ENSG00000116983,dAN,NA,NA,NA,NA,HPCAL4,expressed,NA
ENSG00000116991,dAN,Dorsal forebrain,NA,NA,NA,SIPA1L2,expressed,NA
ENSG00000117152,vAN,Ventral forebrain,NA,1,NA,RGS4,expressed,NA
ENSG00000117154,dAN,NA,NA,NA,NA,IGSF21,expressed,NA
ENSG00000117228,dAN,NA,NA,NA,NA,GBP1,expressed,NA
ENSG00000117318,vAN,Ventral forebrain,NA,2,NA,ID3,expressed,NA
ENSG00000117461,vAN,NA,NA,1,NA,PIK3R3,expressed,NA
ENSG00000117480,vAN,NA,NA,NA,NA,FAAH,expressed,NA
ENSG00000117592,dAN,Dorsal forebrain,NA,NA,Cluster 2,PRDX6,expressed,NA
ENSG00000117598,dAN,NA,NA,NA,NA,PLPPR5,NA,NA
ENSG00000118137,vAN,NA,NA,NA,Cluster 1,APOA1,expressed,NA
ENSG00000118231,dAN,NA,NA,NA,NA,CRYGD,expressed,NA
ENSG00000118257,dAN,NA,NA,NA,NA,NRP2,expressed,NA
ENSG00000118271,vAN,Ventral forebrain,NA,NA,NA,TTR,expressed,NA
ENSG00000118407,dAN,Early differentiation,NA,NA,NA,FILIP1,expressed,NA
ENSG00000118503,dAN,Dorsal forebrain,NA,NA,NA,TNFAIP3,expressed,NA
ENSG00000118508,dAN,NA,NA,NA,NA,RAB32,expressed,NA
ENSG00000118523,dAN,Forebrain,NA,NA,NA,CCN2,NA,NA
ENSG00000118689,dAN,NA,NA,NA,Cluster 2,FOXO3,expressed,NA
ENSG00000118702,vAN,NA,NA,NA,NA,GHRH,expressed,NA
ENSG00000118729,vAN,NA,NA,NA,Cluster 1,CASQ2,expressed,NA
ENSG00000118733,dAN,Dorsal forebrain,NA,NA,NA,OLFM3,expressed,NA
ENSG00000118785,dAN,NA,NA,NA,NA,SPP1,expressed,NA
ENSG00000118946,dAN,NA,NA,NA,NA,PCDH17,expressed,NA
ENSG00000118971,vAN,NA,NA,NA,NA,CCND2,expressed,NA
ENSG00000118997,vAN,Ventral forebrain,NA,NA,NA,DNAH7,expressed,NA
ENSG00000119138,dAN,NA,NA,NA,Cluster 2,KLF9,expressed,NA
ENSG00000119227,dAN,NA,NA,NA,NA,PIGZ,expressed,NA
ENSG00000119547,dAN,Dorsal forebrain,NA,NA,NA,ONECUT2,expressed,NA
ENSG00000119630,vAN,NA,NA,NA,Cluster 1,PGF,expressed,NA
ENSG00000119681,dAN,Dorsal forebrain,NA,NA,NA,LTBP2,expressed,NA
ENSG00000119686,dAN,NA,NA,NA,NA,FLVCR2,expressed,NA
ENSG00000119771,dAN,NA,NA,NA,NA,KLHL29,expressed,NA
ENSG00000119862,dAN,Dorsal forebrain,NA,NA,Cluster 2,LGALSL,expressed,NA
ENSG00000119888,vAN,Early differentiation,NA,NA,NA,EPCAM,expressed,NA
ENSG00000119973,dAN,NA,NA,NA,NA,PRLHR,expressed,NA
ENSG00000120051,vAN,NA,NA,NA,Cluster 1,CFAP58,NA,NA
ENSG00000120129,dAN,NA,NA,NA,Cluster 2,DUSP1,expressed,NA
ENSG00000120149,dAN,Dorsal forebrain,NA,NA,NA,MSX2,expressed,NA
ENSG00000120156,dAN,Dorsal forebrain,NA,NA,NA,TEK,expressed,NA
ENSG00000120262,vAN,NA,NA,NA,Cluster 1,CCDC170,expressed,NA
ENSG00000120278,dAN,Dorsal forebrain,NA,NA,NA,PLEKHG1,expressed,NA
ENSG00000120306,dAN,Dorsal forebrain,NA,NA,NA,CYSTM1,expressed,NA
ENSG00000120457,dAN,Dorsal forebrain,NA,NA,Cluster 2,KCNJ5,expressed,NA
ENSG00000120549,dAN,Dorsal forebrain,NA,NA,NA,KIAA1217,expressed,NA
ENSG00000120669,vAN,NA,NA,NA,Cluster 1,SOHLH2,expressed,NA
ENSG00000120675,dAN,NA,NA,NA,Cluster 2,DNAJC15,expressed,NA
ENSG00000120693,vAN,NA,NA,NA,NA,SMAD9,expressed,NA
ENSG00000120708,vAN,Ventral forebrain,NA,NA,NA,TGFBI,expressed,NA
ENSG00000120738,dAN,NA,NA,NA,Cluster 2,EGR1,expressed,NA
ENSG00000120756,dAN,NA,NA,NA,Cluster 2,PLS1,expressed,NA
ENSG00000120875,dAN,NA,NA,NA,Cluster 2,DUSP4,expressed,NA
ENSG00000120885,dAN,Dorsal forebrain,NA,NA,NA,CLU,expressed,NA
ENSG00000120949,dAN,NA,NA,NA,Cluster 2,TNFRSF8,expressed,NA
ENSG00000121207,vAN,Early differentiation,NA,NA,NA,LRAT,expressed,NA
ENSG00000121310,vAN,NA,NA,NA,Cluster 1,ECHDC2,expressed,NA
ENSG00000121361,vAN,NA,NA,NA,Cluster 1,KCNJ8,expressed,NA
ENSG00000121440,vAN,Ventral forebrain,NA,NA,Cluster 1,PDZRN3,expressed,tested
ENSG00000121690,vAN,NA,NA,NA,NA,DEPDC7,expressed,NA
ENSG00000121743,dAN,NA,NA,NA,NA,GJA3,expressed,NA
ENSG00000121871,vAN,NA,NA,NA,NA,SLITRK3,expressed,NA
ENSG00000121898,vAN,NA,NA,NA,NA,CPXM2,NA,NA
ENSG00000121900,vAN,NA,NA,NA,NA,TMEM54,expressed,NA
ENSG00000121966,dAN,NA,NA,NA,Cluster 1,CXCR4,expressed,NA
ENSG00000122012,dAN,NA,NA,NA,NA,SV2C,expressed,NA
ENSG00000122417,vAN,Ventral forebrain,NA,NA,Cluster 1,ODF2L,expressed,NA
ENSG00000122547,vAN,NA,NA,NA,NA,EEPD1,expressed,NA
ENSG00000122585,dAN,NA,NA,1,NA,NPY,expressed,NA
ENSG00000122641,vAN,Ventral forebrain,NA,NA,NA,INHBA,expressed,NA
ENSG00000122691,vAN,NA,NA,NA,NA,TWIST1,expressed,NA
ENSG00000122779,dAN,Early differentiation,NA,NA,NA,TRIM24,expressed,NA
ENSG00000122861,dAN,Dorsal forebrain,NA,NA,NA,PLAU,expressed,NA
ENSG00000122870,vAN,NA,NA,NA,NA,BICC1,expressed,NA
ENSG00000122877,dAN,NA,NA,NA,NA,EGR2,expressed,NA
ENSG00000122971,vAN,NA,NA,NA,Cluster 1,ACADS,expressed,NA
ENSG00000123094,dAN,Dorsal forebrain,NA,NA,NA,RASSF8,expressed,NA
ENSG00000123095,dAN,NA,NA,NA,Cluster 2,BHLHE41,expressed,NA
ENSG00000123307,dAN,Dorsal forebrain,NA,NA,NA,NEUROD4,expressed,NA
ENSG00000123342,dAN,NA,NA,NA,NA,MMP19,expressed,NA
ENSG00000123427,vAN,NA,NA,NA,NA,EEF1AKMT3,NA,NA
ENSG00000123560,vAN,NA,NA,NA,Cluster 2,PLP1,expressed,NA
ENSG00000123572,vAN,NA,NA,NA,NA,NRK,expressed,NA
ENSG00000123700,dAN,NA,NA,NA,NA,KCNJ2,expressed,NA
ENSG00000123977,vAN,NA,NA,NA,Cluster 1,DAW1,expressed,NA
ENSG00000124006,vAN,NA,NA,NA,NA,OBSL1,expressed,NA
ENSG00000124140,vAN,NA,NA,NA,NA,SLC12A5,expressed,NA
ENSG00000124145,dAN,NA,NA,NA,NA,SDC4,expressed,NA
ENSG00000124191,vAN,NA,NA,NA,Cluster 1,TOX2,expressed,NA
ENSG00000124205,vAN,Ventral forebrain,NA,NA,NA,EDN3,expressed,NA
ENSG00000124225,vAN,NA,NA,NA,NA,PMEPA1,expressed,NA
ENSG00000124479,vAN,NA,NA,NA,NA,NDP,expressed,NA
ENSG00000124588,dAN,NA,NA,NA,NA,NQO2,expressed,NA
ENSG00000124749,vAN,Ventral forebrain,NA,1,NA,COL21A1,expressed,NA
ENSG00000124762,dAN,NA,NA,NA,NA,CDKN1A,expressed,NA
ENSG00000124766,vAN,Ventral forebrain,NA,1,NA,SOX4,expressed,NA
ENSG00000124785,dAN,Dorsal forebrain,NA,NA,NA,NRN1,expressed,NA
ENSG00000124813,vAN,Ventral forebrain,NA,NA,Cluster 1,RUNX2,NA,NA
ENSG00000124920,vAN,Ventral forebrain,NA,NA,Cluster 1,MYRF,expressed,NA
ENSG00000125046,dAN,NA,NA,NA,NA,SSUH2,expressed,NA
ENSG00000125084,dAN,NA,NA,NA,NA,WNT1,NA,NA
ENSG00000125148,dAN,NA,NA,NA,Cluster 2,MT2A,expressed,NA
ENSG00000125266,dAN,Forebrain,NA,1,NA,EFNB2,expressed,NA
ENSG00000125337,vAN,NA,NA,NA,NA,KIF25,expressed,NA
ENSG00000125378,vAN,Forebrain,NA,NA,NA,BMP4,expressed,NA
ENSG00000125430,dAN,NA,NA,NA,Cluster 2,HS3ST3B1,expressed,NA
ENSG00000125462,dAN,NA,NA,NA,NA,MIR9-1HG,NA,NA
ENSG00000125492,dAN,Dorsal forebrain,NA,NA,NA,BARHL1,expressed,NA
ENSG00000125514,vAN,NA,NA,NA,NA,NA,NA,NA
ENSG00000125675,vAN,NA,NA,NA,NA,GRIA3,expressed,NA
ENSG00000125740,dAN,NA,NA,NA,NA,FOSB,expressed,NA
ENSG00000125798,vAN,Ventral forebrain,Higly_DE,2,Cluster 1,FOXA2,expressed,NA
ENSG00000125820,vAN,NA,NA,2,Cluster 1,NKX2-2,expressed,NA
ENSG00000125845,dAN,NA,NA,1,NA,BMP2,expressed,NA
ENSG00000125848,dAN,NA,NA,NA,NA,FLRT3,expressed,NA
ENSG00000125864,vAN,Ventral forebrain,NA,NA,NA,BFSP1,expressed,NA
ENSG00000125869,dAN,Dorsal forebrain,NA,NA,Cluster 2,LAMP5,expressed,NA
ENSG00000125968,dAN,NA,NA,NA,Cluster 2,ID1,expressed,NA
ENSG00000126010,dAN,NA,NA,NA,NA,GRPR,NA,NA
ENSG00000126218,vAN,NA,NA,NA,NA,F10,expressed,NA
ENSG00000126353,dAN,NA,NA,NA,NA,CCR7,NA,NA
ENSG00000126500,vAN,NA,NA,NA,NA,FLRT1,expressed,NA
ENSG00000127084,vAN,NA,NA,NA,Cluster 1,FGD3,expressed,NA
ENSG00000127152,vAN,Ventral forebrain,NA,NA,NA,BCL11B,expressed,NA
ENSG00000127561,dAN,NA,NA,NA,NA,SYNGR3,expressed,NA
ENSG00000127578,vAN,NA,NA,NA,NA,WFIKKN1,expressed,NA
ENSG00000127720,vAN,NA,NA,NA,Cluster 1,METTL25,expressed,NA
ENSG00000127920,dAN,NA,NA,NA,Cluster 2,GNG11,expressed,NA
ENSG00000128011,vAN,NA,NA,NA,NA,LRFN1,expressed,NA
ENSG00000128016,dAN,NA,NA,NA,Cluster 2,ZFP36,expressed,NA
ENSG00000128165,dAN,Dorsal forebrain,NA,NA,NA,ADM2,expressed,NA
ENSG00000128283,dAN,Dorsal forebrain,NA,NA,Cluster 2,CDC42EP1,expressed,NA
ENSG00000128285,dAN,NA,NA,NA,NA,MCHR1,expressed,NA
ENSG00000128298,dAN,NA,NA,NA,NA,BAIAP2L2,expressed,NA
ENSG00000128342,dAN,NA,NA,NA,NA,LIF,NA,NA
ENSG00000128422,dAN,NA,NA,NA,Cluster 2,KRT17,expressed,NA
ENSG00000128564,dAN,NA,NA,NA,Cluster 2,VGF,expressed,NA
ENSG00000128655,vAN,Ventral forebrain,NA,NA,NA,PDE11A,expressed,NA
ENSG00000128683,vAN,NA,NA,NA,NA,GAD1,expressed,NA
ENSG00000128872,vAN,NA,NA,NA,Cluster 1,TMOD2,expressed,NA
ENSG00000129009,vAN,NA,NA,NA,NA,ISLR,expressed,NA
ENSG00000129116,dAN,Forebrain,NA,NA,Cluster 2,PALLD,expressed,NA
ENSG00000129295,vAN,Ventral forebrain,NA,NA,NA,DNAAF11,NA,NA
ENSG00000129514,vAN,Ventral forebrain,NA,NA,NA,FOXA1,expressed,NA
ENSG00000129521,dAN,NA,NA,NA,NA,EGLN3,expressed,NA
ENSG00000129667,dAN,NA,NA,NA,NA,RHBDF2,expressed,NA
ENSG00000130052,dAN,NA,NA,NA,NA,STARD8,expressed,NA
ENSG00000130176,dAN,Dorsal forebrain,NA,NA,Cluster 2,CNN1,expressed,NA
ENSG00000130222,vAN,NA,NA,NA,NA,GADD45G,expressed,NA
ENSG00000130513,dAN,NA,NA,NA,Cluster 2,GDF15,expressed,NA
ENSG00000130528,vAN,NA,NA,NA,NA,HRC,expressed,NA
ENSG00000130643,vAN,NA,NA,NA,NA,CALY,expressed,NA
ENSG00000130707,dAN,Early differentiation,NA,NA,NA,ASS1,expressed,NA
ENSG00000130766,dAN,NA,NA,NA,NA,SESN2,expressed,NA
ENSG00000130830,dAN,Dorsal forebrain,NA,NA,NA,MPP1,expressed,NA
ENSG00000131044,vAN,Ventral forebrain,NA,NA,NA,TTLL9,expressed,NA
ENSG00000131080,dAN,Dorsal forebrain,NA,NA,Cluster 2,EDA2R,expressed,NA
ENSG00000131094,vAN,NA,NA,NA,NA,C1QL1,expressed,NA
ENSG00000131149,vAN,Ventral forebrain,NA,NA,NA,GSE1,expressed,NA
ENSG00000131477,vAN,Ventral forebrain,NA,NA,Cluster 1,RAMP2,expressed,NA
ENSG00000131781,vAN,NA,NA,NA,Cluster 1,FMO5,expressed,NA
ENSG00000131951,vAN,NA,NA,NA,NA,LRRC9,expressed,NA
ENSG00000131981,dAN,NA,NA,NA,Cluster 2,LGALS3,expressed,NA
ENSG00000132000,dAN,NA,NA,NA,NA,PODNL1,expressed,NA
ENSG00000132205,dAN,Dorsal forebrain,NA,NA,NA,EMILIN2,expressed,NA
ENSG00000132274,dAN,Early differentiation,NA,NA,NA,TRIM22,NA,NA
ENSG00000132329,vAN,NA,NA,NA,NA,RAMP1,expressed,NA
ENSG00000132386,vAN,Ventral forebrain,NA,NA,NA,SERPINF1,expressed,NA
ENSG00000132429,vAN,NA,NA,NA,NA,POPDC3,expressed,NA
ENSG00000132437,vAN,Ventral forebrain,NA,NA,NA,DDC,expressed,NA
ENSG00000132470,vAN,NA,NA,NA,NA,ITGB4,expressed,NA
ENSG00000132554,vAN,NA,NA,NA,NA,RGS22,expressed,NA
ENSG00000132639,dAN,NA,NA,NA,NA,SNAP25,expressed,NA
ENSG00000132692,vAN,NA,NA,NA,NA,BCAN,expressed,NA
ENSG00000132825,dAN,NA,NA,NA,NA,PPP1R3D,expressed,NA
ENSG00000132872,dAN,NA,NA,NA,NA,SYT4,expressed,NA
ENSG00000133048,dAN,Dorsal forebrain,NA,NA,NA,CHI3L1,expressed,NA
ENSG00000133107,dAN,NA,NA,NA,NA,TRPC4,expressed,NA
ENSG00000133124,dAN,Dorsal forebrain,NA,NA,Cluster 2,IRS4,expressed,NA
ENSG00000133216,vAN,Ventral forebrain,NA,NA,NA,EPHB2,expressed,NA
ENSG00000133665,vAN,Ventral forebrain,NA,NA,NA,DYDC2,expressed,NA
ENSG00000133687,dAN,NA,NA,NA,NA,TMTC1,expressed,NA
ENSG00000133816,vAN,NA,NA,NA,NA,MICAL2,expressed,NA
ENSG00000133863,vAN,Ventral forebrain,NA,NA,Cluster 1,TEX15,expressed,NA
ENSG00000133980,dAN,Early differentiation,NA,NA,NA,VRTN,expressed,NA
ENSG00000134107,dAN,NA,NA,NA,NA,BHLHE40,expressed,NA
ENSG00000134115,vAN,NA,NA,NA,Cluster 1,CNTN6,expressed,NA
ENSG00000134215,dAN,Dorsal forebrain,NA,NA,Cluster 2,VAV3,expressed,NA
ENSG00000134245,dAN,Dorsal forebrain,NA,NA,NA,WNT2B,expressed,NA
ENSG00000134259,dAN,NA,NA,NA,Cluster 2,NGF,expressed,NA
ENSG00000134317,vAN,NA,NA,NA,NA,GRHL1,expressed,NA
ENSG00000134333,vAN,NA,NA,NA,NA,LDHA,expressed,NA
ENSG00000134369,dAN,Dorsal forebrain,NA,NA,Cluster 2,NAV1,expressed,NA
ENSG00000134376,vAN,NA,NA,NA,Cluster 1,CRB1,expressed,NA
ENSG00000134438,vAN,NA,NA,NA,NA,RAX,expressed,NA
ENSG00000134508,dAN,Early differentiation,NA,NA,NA,CABLES1,expressed,NA
ENSG00000134531,dAN,NA,NA,NA,NA,EMP1,expressed,NA
ENSG00000134532,vAN,Forebrain,NA,NA,Cluster 1,SOX5,expressed,NA
ENSG00000134533,vAN,Ventral forebrain,NA,NA,Cluster 1,RERG,expressed,NA
ENSG00000134548,dAN,NA,NA,NA,NA,SPX,NA,NA
ENSG00000134594,vAN,NA,NA,NA,NA,RAB33A,expressed,NA
ENSG00000134716,vAN,Ventral forebrain,NA,NA,NA,CYP2J2,expressed,NA
ENSG00000134762,dAN,NA,NA,NA,NA,DSC3,expressed,NA
ENSG00000134817,dAN,NA,NA,NA,NA,APLNR,expressed,NA
ENSG00000134853,vAN,Ventral forebrain,NA,NA,NA,PDGFRA,expressed,NA
ENSG00000134954,dAN,NA,NA,NA,NA,ETS1,expressed,NA
ENSG00000135002,dAN,Dorsal forebrain,NA,NA,NA,RFK,expressed,NA
ENSG00000135046,dAN,NA,NA,NA,NA,ANXA1,expressed,NA
ENSG00000135048,dAN,Dorsal forebrain,NA,NA,NA,CEMIP2,NA,NA
ENSG00000135074,dAN,Dorsal forebrain,NA,NA,NA,ADAM19,expressed,NA
ENSG00000135116,dAN,NA,NA,NA,NA,HRK,expressed,NA
ENSG00000135144,vAN,NA,NA,1,NA,DTX1,expressed,NA
ENSG00000135248,dAN,NA,NA,NA,Cluster 2,GARIN1B,NA,NA
ENSG00000135298,vAN,NA,NA,NA,NA,ADGRB3,NA,NA
ENSG00000135333,dAN,Forebrain,NA,1,NA,EPHA7,expressed,NA
ENSG00000135363,dAN,NA,NA,NA,NA,LMO2,expressed,NA
ENSG00000135406,dAN,NA,NA,NA,Cluster 2,PRPH,expressed,NA
ENSG00000135480,dAN,NA,NA,NA,NA,KRT7,expressed,NA
ENSG00000135519,vAN,NA,NA,NA,NA,KCNH3,expressed,NA
ENSG00000135547,dAN,NA,NA,NA,NA,HEY2,expressed,NA
ENSG00000135549,vAN,NA,NA,NA,NA,PKIB,expressed,NA
ENSG00000135596,vAN,Ventral forebrain,NA,NA,NA,MICAL1,expressed,NA
ENSG00000135697,dAN,Dorsal forebrain,NA,NA,NA,BCO1,NA,NA
ENSG00000135750,dAN,Early differentiation,NA,NA,NA,KCNK1,expressed,NA
ENSG00000135773,vAN,NA,NA,NA,NA,CAPN9,expressed,NA
ENSG00000135838,vAN,Ventral forebrain,NA,1,NA,NPL,expressed,NA
ENSG00000135842,vAN,Ventral forebrain,NA,NA,NA,NIBAN1,NA,NA
ENSG00000135903,dAN,Dorsal forebrain,NA,NA,NA,PAX3,expressed,NA
ENSG00000135925,dAN,NA,NA,NA,NA,WNT10A,expressed,NA
ENSG00000136010,dAN,NA,NA,NA,NA,ALDH1L2,expressed,NA
ENSG00000136014,vAN,NA,NA,NA,Cluster 1,USP44,expressed,NA
ENSG00000136048,dAN,Dorsal forebrain,NA,NA,NA,DRAM1,expressed,NA
ENSG00000136099,dAN,NA,NA,NA,NA,PCDH8,expressed,NA
ENSG00000136110,vAN,Early differentiation,NA,NA,NA,CNMD,NA,NA
ENSG00000136160,dAN,NA,NA,NA,NA,EDNRB,expressed,NA
ENSG00000136193,dAN,Dorsal forebrain,NA,NA,Cluster 2,SCRN1,expressed,NA
ENSG00000136327,vAN,Ventral forebrain,NA,2,Cluster 1,NKX2-8,expressed,NA
ENSG00000136352,vAN,Ventral forebrain,NA,1,Cluster 1,NKX2-1,expressed,NA
ENSG00000136444,vAN,NA,NA,NA,NA,RSAD1,expressed,NA
ENSG00000136535,dAN,NA,NA,NA,NA,TBR1,expressed,NA
ENSG00000136541,vAN,Ventral forebrain,NA,1,Cluster 1,ERMN,expressed,NA
ENSG00000136546,vAN,Ventral forebrain,NA,NA,NA,SCN7A,expressed,NA
ENSG00000136603,vAN,Ventral forebrain,NA,NA,NA,SKIL,expressed,NA
ENSG00000136840,vAN,NA,NA,NA,NA,ST6GALNAC4,expressed,NA
ENSG00000136960,vAN,NA,NA,NA,NA,ENPP2,expressed,NA
ENSG00000137094,dAN,NA,NA,NA,Cluster 2,DNAJB5,expressed,NA
ENSG00000137142,dAN,NA,NA,NA,NA,IGFBPL1,expressed,NA
ENSG00000137203,dAN,Dorsal forebrain,NA,NA,NA,TFAP2A,expressed,NA
ENSG00000137266,dAN,Dorsal forebrain,NA,NA,NA,SLC22A23,expressed,NA
ENSG00000137267,dAN,Dorsal forebrain,NA,NA,NA,TUBB2A,expressed,NA
ENSG00000137285,dAN,Dorsal forebrain,NA,NA,NA,TUBB2B,expressed,NA
ENSG00000137393,vAN,Ventral forebrain,NA,NA,Cluster 1,RNF144B,NA,NA
ENSG00000137474,vAN,NA,NA,NA,NA,MYO7A,expressed,NA
ENSG00000137561,vAN,NA,NA,NA,NA,TTPA,expressed,NA
ENSG00000137573,dAN,NA,NA,NA,NA,SULF1,expressed,NA
ENSG00000137842,vAN,NA,NA,NA,NA,TMEM62,expressed,NA
ENSG00000137868,vAN,NA,NA,NA,NA,STRA6,expressed,NA
ENSG00000137959,vAN,NA,NA,NA,NA,IFI44L,NA,NA
ENSG00000137968,vAN,Ventral forebrain,NA,NA,NA,SLC44A5,expressed,NA
ENSG00000138028,vAN,NA,NA,NA,NA,CGREF1,expressed,NA
ENSG00000138061,dAN,Dorsal forebrain,NA,NA,NA,CYP1B1,expressed,NA
ENSG00000138083,vAN,Ventral forebrain,NA,1,NA,SIX3,expressed,NA
ENSG00000138134,vAN,Ventral forebrain,NA,NA,Cluster 1,STAMBPL1,expressed,NA
ENSG00000138166,dAN,NA,NA,NA,Cluster 2,DUSP5,expressed,NA
ENSG00000138193,vAN,Ventral forebrain,NA,NA,NA,PLCE1,expressed,NA
ENSG00000138207,dAN,NA,NA,NA,NA,RBP4,expressed,NA
ENSG00000138316,vAN,NA,NA,NA,NA,ADAMTS14,expressed,NA
ENSG00000138379,vAN,NA,NA,NA,NA,MSTN,expressed,NA
ENSG00000138400,vAN,NA,NA,NA,Cluster 1,MDH1B,expressed,NA
ENSG00000138411,vAN,NA,NA,NA,NA,HECW2,expressed,NA
ENSG00000138435,vAN,Ventral forebrain,NA,NA,NA,CHRNA1,expressed,NA
ENSG00000138449,vAN,NA,NA,NA,NA,SLC40A1,expressed,NA
ENSG00000138587,vAN,NA,NA,NA,NA,MNS1,expressed,NA
ENSG00000138653,dAN,Dorsal forebrain,NA,NA,Cluster 2,NDST4,expressed,NA
ENSG00000138670,vAN,Ventral forebrain,NA,1,Cluster 2,RASGEF1B,expressed,NA
ENSG00000138678,dAN,NA,NA,NA,NA,GPAT3,NA,NA
ENSG00000138685,dAN,NA,NA,NA,Cluster 2,FGF2,expressed,NA
ENSG00000138759,dAN,NA,NA,NA,NA,FRAS1,expressed,NA
ENSG00000138772,dAN,Dorsal forebrain,NA,NA,Cluster 2,ANXA3,expressed,NA
ENSG00000138795,dAN,Dorsal forebrain,NA,1,NA,LEF1,expressed,NA
ENSG00000138798,dAN,Dorsal forebrain,NA,NA,Cluster 2,EGF,expressed,NA
ENSG00000138944,vAN,Ventral forebrain,NA,NA,Cluster 1,SHISAL1,NA,NA
ENSG00000138964,vAN,NA,NA,NA,NA,PARVG,NA,NA
ENSG00000139209,vAN,Ventral forebrain,NA,NA,NA,SLC38A4,expressed,NA
ENSG00000139289,dAN,NA,NA,NA,Cluster 2,PHLDA1,expressed,NA
ENSG00000139292,dAN,NA,NA,NA,NA,LGR5,expressed,NA
ENSG00000139329,dAN,NA,NA,NA,NA,LUM,expressed,NA
ENSG00000139352,vAN,NA,NA,NA,Cluster 1,ASCL1,expressed,NA
ENSG00000139438,vAN,NA,NA,NA,Cluster 2,FAM222A,expressed,NA
ENSG00000139445,vAN,NA,NA,NA,Cluster 1,FOXN4,expressed,NA
ENSG00000139508,vAN,NA,NA,NA,NA,SLC46A3,expressed,NA
ENSG00000139597,vAN,NA,NA,NA,NA,N4BP2L1,expressed,NA
ENSG00000139629,dAN,Early differentiation,NA,NA,NA,GALNT6,expressed,NA
ENSG00000139679,dAN,Dorsal forebrain,NA,NA,Cluster 2,LPAR6,expressed,NA
ENSG00000139800,dAN,Early differentiation,NA,NA,Cluster 2,ZIC5,expressed,tested
ENSG00000139865,vAN,Ventral forebrain,NA,NA,NA,TTC6,expressed,NA
ENSG00000140015,vAN,NA,NA,NA,NA,KCNH5,expressed,NA
ENSG00000140022,dAN,NA,NA,NA,NA,STON2,expressed,NA
ENSG00000140105,dAN,NA,NA,NA,Cluster 2,WARS1,NA,NA
ENSG00000140280,vAN,NA,NA,NA,NA,LYSMD2,expressed,NA
ENSG00000140284,vAN,NA,NA,NA,NA,SLC27A2,expressed,NA
ENSG00000140285,vAN,NA,NA,NA,NA,FGF7,expressed,NA
